Name;Sex;PeoplesCount;Origin
Aidan;Female;44000;Irish
Aidan;Female;44000;Irish
Aidan;Male;44000;Anglo-Saxon
Aidan;Male;44000;Old French
Aidann;Male;98;Unknown
Aideen;Female;2000;Irish
Aiden;Male;23000;Irish
Aiden;Male;23000;Celtic
Aidia;Female;269;Spanish
Aidoios;Female;0;Greek
Aidrian;Male;74;Irish
Aiekin;Male;5;English
Aife;Female;296;Celtic
Aifric;Female;199;Celtic
Aifric;Female;199;Irish
Aiglentina;Female;17;French
Aiglentine;Female;1;French
Aigneis;Female;69;Gaelic
Aigneis;Female;69;Celtic
Aigneis;Female;69;Irish
Aiken;Male;26000;Anglo
Aiken;Male;26000;Anglo-Saxon
Aiken;Male;26000;English
Aikin;Male;1000;English
Aiko;Female;33000;Japanese
Ail;Male;17000;Scottish
Aila;Female;6000;Scottish
Ailani;Female;1000;Hawaiian
Ailat;Female;51;Hebrew
Ailbe;Male;141;German
Ailbe;Male;141;Celtic
Ailbert;Male;94;Scottish
Ailbhe;Female;933;Irish
Ailean;Male;102;Scottish
Aileana;Female;26;Scottish
Aileen;Female;39000;Scottish
Aileen;Female;39000;Irish
Aileene;Female;213;Irish
Aileene;Female;213;Scottish
Ailein;Male;18;Scottish
Ailey;Female;2000;Irish
Ailfrid;Male;2;Irish
Aili;Female;2000;Irish
Aili;Female;2000;German
Ailia;Female;302;Irish
Ailidh;Female;117;Celtic
Ailill;Male;53;Celtic
Ailill;Male;53;Celtic
Ailin;Male;8000;Gaelic
Ailin;Male;8000;Irish
Ailis;Female;702;Gaelic
Ailis;Female;702;Celtic
Ailis;Female;702;Irish
Ailis;Female;702;German
Ailisa;Female;0;Irish
Ailise;Female;102;Irish
Ailison;Female;26;Irish
Ailith;Female;65;English
Aillig;Male;2;Scottish
Ailsa;Female;5000;Hebrew
Ailse;Female;61;German
Ailsie;Female;7;Hebrew
Ailsie;Female;7;Hebrew
Aimee;Female;0;French
Aimee;Female;0;French
Aimil;Female;547;Gaelic
Ain;Female;161000;Arabic
Ain;Male;161000;English
Ain;Female;161000;Egyptian
Aina;Female;42000;Scandinavian
Aina;Female;42000;Celtic
Aina;Female;42000;African
Aindreas;Male;66;Gaelic
Aindreas;Male;66;Irish
Aindreas;Male;66;Scottish
Aine;Female;11000;Celtic
Aine;Female;11000;Irish
Aine;Female;11000;Celtic
Aineislis;Male;1;Irish
Aingeal;Female;186;Celtic
Aingeal;Female;186;Irish
Aingealag;Female;32;Gaelic
Aingeru;Male;458;Basque
Aini;Female;29000;Arabic
Ainmire;Male;35;Irish
Ainslee;Female;555;Scottish
Ainsley;Male;8000;English
Ainsley;Male;8000;English
Ainsley;Female;8000;Scottish
Ainsley;Female;8000;Gaelic
Ainsley;Female;8000;Scottish
Ainslie;Male;3000;English
Ainsworth;Male;12000;English
Aintzane;Female;738;Spanish
Aintzane;Female;738;Basque
