GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Сухофрукты;Кокос кубики;28144441;Тайланд;Тайланд;;Кг;;0.000000;0.000;18.0;5;0.000;0;0;0;0
Сухофрукты;Кокос ОрехоГрад кубики 150г;26011448;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Кокос стружка в йогурте;28445272;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль Джаз Карибы орехи/сух/цук.300г;26063089;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль Джаз орехи/сухофр.300г;4600294001699;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль Джаз орехи/сухофрукты 50г;4600294001712;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль Джаз ореховый 1кг;4600294002467;Россия;Россия;Джаз;ШТ 1;Кг;1.000000;0.000;18.0;0;0.000;0;0;0;0
Горячая выпечка из п/ф;Коктейль сливочный 180 мл;25338539;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Горячая выпечка из п/ф;Коктейль сливочный 300 мл;25338546;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль Финнат орехово-фруктов.350г в/у;4601692001304;Россия;Россия;Финнат;ШТ 1;Кг;0.350000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль Чака из орехов и изюма 50г;4607004160141;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коктейль экзотический Атланта 150г;4607003150853;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Коллекция Джаз ореховая 250г ж/б;4600294001811;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Горячая выпечка из п/ф;Контейнер с крышкой 0.5л;25338034;;;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Кофе;Кофе Академия зерно;28047834;Италия;Италия;;Кг;Кг;1.000000;0.000;18.0;0;0.000;0;0;0;0
Кофе;Кофе Аладдин классик 3в1 20г;4605975001425;;;;Штука;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Кофе;Кофе Амбассадор Адора 24/2г;7612654000454;Польша;Польша;Амбассадор;ШТ 1;Кг;0.048000;0.000;18.0;0;0.000;0;0;0;0
Кофе;Кофе Амбассадор Адора 2г;7612654000447;Польша;Польша;Амбассадор;ШТ 1;Кг;0.002000;0.000;18.0;0;0.000;0;0;0;0
Кофе;Кофе ГейлианЭспрессо молот.250г;5410976120001;Россия;Россия;Гейлиан;ШТ 1;Кг;0.250000;0.000;18.0;0;0.000;0;0;0;0
Кофе;Кофе Голден Игл 2г;8886346306042;Сингапур;Сингапур;Голден Игл;ШТ 1;Кг;0.002000;0.000;18.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Флиппи абрикос сорбет с миндалем;26119724;Франция;Франция;Флиппи;ШТ 1;Литр 1;1.000000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Флиппи Безе ваниль/пралине1.2л;26118307;Франция;Франция;Флиппи;ШТ 1;Литр 1;1.200000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Флиппи Безе ваниль/шоколад 1.2л;26118314;Франция;Франция;Флиппи;ШТ 1;Литр 1;1.200000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Флиппи Фламбэ ликер/сироп 1л;26118253;Франция;Франция;Флиппи;ШТ 1;Литр 1;1.000000;0.000;18.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт ХК1 Валентинка 500г;26044668;Россия;Россия;Хладокомбинат №1;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт ХК1 Корзина пломбир 1кг;4603424001927;Россия;Россия;Хладокомбинат №1;ШТ 1;Кг;1.000000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Хладо Афродита 750г;4601216002572;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Хладо Диана двухслойное 800г;4601216004361;Россия;Россия;;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Хладо Клеопатра киви 800г;4601216002596;Россия;Россия;;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Торты-мороженое;Морож-торт Хладо Компанейский 800г;4601216004569;Россия;Россия;;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
